location,party,followers,sentiment,Total Valid Votes Polled in the State,TOTAL VALID VOTES POLLED BY PARTY
Andaman & Nicobar Islands,1,252,0.33399999999999996,188764,90969
Andaman & Nicobar Islands,1,1135,-0.136,188764,90969
Andaman & Nicobar Islands,1,398,0.16,188764,90969
Andaman & Nicobar Islands,1,1542,0.231,188764,90969
Andaman & Nicobar Islands,1,5130509,0.244,188764,90969
Andaman & Nicobar Islands,1,107,0.125,188764,90969
Andaman & Nicobar Islands,1,548,0.218,188764,90969
Andaman & Nicobar Islands,1,7490,0.48100000000000004,188764,90969
Andaman & Nicobar Islands,1,167,-0.282,188764,90969
Andaman & Nicobar Islands,1,838,-0.25,188764,90969
Andaman & Nicobar Islands,1,1486,0.22399999999999998,188764,90969
Andaman & Nicobar Islands,1,42235,0.191,188764,90969
Andaman & Nicobar Islands,1,32478,0.503,188764,90969
Andaman & Nicobar Islands,1,6374,0.159,188764,90969
Andaman & Nicobar Islands,1,813,-0.281,188764,90969
Andaman & Nicobar Islands,1,813,0.209,188764,90969
Andaman & Nicobar Islands,1,25,0.11199999999999999,188764,90969
Andaman & Nicobar Islands,1,1,0.47600000000000003,188764,90969
Andaman & Nicobar Islands,1,3196107,0.36700000000000005,188764,90969
Andaman & Nicobar Islands,1,8,0.27899999999999997,188764,90969
Andaman & Nicobar Islands,1,19,-0.231,188764,90969
Andaman & Nicobar Islands,1,154,0.32,188764,90969
Andaman & Nicobar Islands,1,24601,-0.29600000000000004,188764,90969
Andaman & Nicobar Islands,1,8976,-0.227,188764,90969
Andhra Pradesh,1,2930,-0.431,48026634,4091908
Andhra Pradesh,1,1442,0.278,48026634,4091908
Andhra Pradesh,1,111,-0.07899999999999999,48026634,4091908
Andhra Pradesh,1,854,0.22,48026634,4091908
Andhra Pradesh,1,1786,0.34700000000000003,48026634,4091908
Andhra Pradesh,1,126,0.385,48026634,4091908
Andhra Pradesh,1,1090,-0.256,48026634,4091908
Andhra Pradesh,1,386,0.301,48026634,4091908
Andhra Pradesh,1,854,0.408,48026634,4091908
Andhra Pradesh,1,2377,-0.10099999999999999,48026634,4091908
Andhra Pradesh,1,35,0.162,48026634,4091908
Andhra Pradesh,1,35,0.205,48026634,4091908
Andhra Pradesh,1,7534,0.249,48026634,4091908
Andhra Pradesh,1,7534,0.249,48026634,4091908
Andhra Pradesh,1,935,0.113,48026634,4091908
Andhra Pradesh,1,585,0.217,48026634,4091908
Andhra Pradesh,1,2172,-0.231,48026634,4091908
Andhra Pradesh,1,2570,0.018000000000000002,48026634,4091908
Andhra Pradesh,1,212,0.21899999999999997,48026634,4091908
Andhra Pradesh,1,60593,0.31,48026634,4091908
Andhra Pradesh,1,60593,-0.266,48026634,4091908
Andhra Pradesh,1,53,0.32,48026634,4091908
Andhra Pradesh,1,3,-0.28600000000000003,48026634,4091908
Andhra Pradesh,1,711,0.355,48026634,4091908
Andhra Pradesh,1,962,0.157,48026634,4091908
Andhra Pradesh,1,123,-0.198,48026634,4091908
Andhra Pradesh,1,16879,0.266,48026634,4091908
Andhra Pradesh,1,4785,0.31,48026634,4091908
Andhra Pradesh,1,398,0.16,48026634,4091908
Andhra Pradesh,1,8398,0.183,48026634,4091908
Andhra Pradesh,1,548,0.14400000000000002,48026634,4091908
Andhra Pradesh,1,7490,0.273,48026634,4091908
Andhra Pradesh,1,317,0.4,48026634,4091908
Andhra Pradesh,1,664,0.243,48026634,4091908
Andhra Pradesh,1,450,0.21100000000000002,48026634,4091908
Andhra Pradesh,1,157,0.084,48026634,4091908
Andhra Pradesh,1,813,-0.281,48026634,4091908
Andhra Pradesh,1,3,0.225,48026634,4091908
Andhra Pradesh,1,3196107,-0.298,48026634,4091908
Andhra Pradesh,1,12,-0.506,48026634,4091908
Andhra Pradesh,1,1018,-0.16000000000000006,48026634,4091908
Andhra Pradesh,1,8273,0.124,48026634,4091908
Arunachal Pradesh,1,299,0.16699999999999998,590635,275344
Arunachal Pradesh,1,238,0.16699999999999998,590635,275344
Arunachal Pradesh,1,332,-0.146,590635,275344
Arunachal Pradesh,1,194,-0.136,590635,275344
Arunachal Pradesh,1,18992,0.40700000000000003,590635,275344
Arunachal Pradesh,1,105,0.258,590635,275344
Arunachal Pradesh,1,16,-0.175,590635,275344
Arunachal Pradesh,1,8954,0.085,590635,275344
Arunachal Pradesh,1,2108,-0.258,590635,275344
