hashtags,dates,tweets,location,followers,fav,reply,retweet
INCIndia,Sat May 03 08:14:53 +0000 2014,#incindia #bjp #aap be wise constructive opposition if there's no burning desire to serve ppl marthe dham tak quit politics remove such cand,Andaman & Nicobar Islands,144,0,0,0
rahulgandhi,Sun Apr 27 07:22:16 +0000 2014,"#RahulGandhi's honeymoon with #Dalits over since awareness&amp;contempt of #Cong, #BSP populism&amp;cheating is widespread. #Ramdev ji is correct",Andaman & Nicobar Islands,1578,0,0,0
congress,Fri May 09 11:02:15 +0000 2014,SoniaG's plane makes emergency landing in Agra.good didnt crash. otherwise it'll be repeat of #congress in power after #rajeev on sympathy,Andaman & Nicobar Islands,105,0,0,0
congress,Wed Apr 30 11:57:07 +0000 2014,"It's funny that #congress still think they have a chance. Wake up!!
The nation has decided.. #SelfieWithModi #AbKiBaarModiSarkaar",Andaman & Nicobar Islands,57,0,2,0
rahulgandhi,Tue May 06 10:46:16 +0000 2014,#RahulGandhi at Jaunpur (UP): UP govt can never so such things. Only Congress can accomplish such big tasks,Andaman & Nicobar Islands,7071,2,2,0
RGinUP,Mon May 05 12:07:22 +0000 2014,"#RahulGandhi concluded his rally at Allahabad, Uttar Pradesh 
#RGinUP",Andaman & Nicobar Islands,7071,0,2,0
soniagandhi,Fri May 09 11:17:30 +0000 2014,"#SoniaGandhi at Bihar: Like MNREGA and Food bill, we will bring in right to health scheme too",Andaman & Nicobar Islands,7071,1,7,0
congress,Mon May 12 11:48:14 +0000 2014,Losing hair is a gradual phenomenon. But an overnight bald patch is what #Congress will see on the 16th. #Verdict2014,Andaman & Nicobar Islands,465,0,0,0
rahulgandhi,Mon May 12 05:00:03 +0000 2014,"Correct:
#RahulGandhi: The BJP is much better at marketing themselves. If you’ve observed their campaigns, they are high on noise",Andaman & Nicobar Islands,7071,0,1,1
rahulgandhi,Wed Apr 30 09:14:39 +0000 2014,@INCIndia Digvijay Singh left cancer stricken wife for TV anchor #AmritaRai real Women Empowerment by #RahulGandhi political guru.,Andaman & Nicobar Islands,56,0,0,0
congress,Sat May 03 10:21:36 +0000 2014,"मर्दानगी नापने का पैमाना!
#news #palpalnews #Sarokar #Congress #online #समाचार #पलपलइंडिया #सूचना http://t.co/onVwgRz36h",Andaman & Nicobar Islands,2556,0,0,0
congress,Thu Apr 24 11:30:40 +0000 2014,@pushpendra777 mai jahape rehta hu waha pe congress ke sivai aur kuch hai hii nai #congress #congressloyalite,Andaman & Nicobar Islands,68,0,0,0
soniagandhi,Thu Apr 24 10:18:58 +0000 2014,Sonia hits out at Gujarat model http://t.co/GiAJwe9amx #SoniaGandhi,Andaman & Nicobar Islands,54947,0,0,0
soniagandhi,Wed Apr 23 06:26:01 +0000 2014,#SoniaGandhi talks about development and she did a lot in this direction too: #SoniaGandhi in Raebareli,Andaman & Nicobar Islands,7071,0,1,0
soniagandhi,Sat Apr 26 11:59:20 +0000 2014,"May god save country from ‘Modi model’, says Sonia http://t.co/UjoeMxBVpJ #soniagandhi #NarendraModi #gujaratmodel http://t.co/2DUvC69Hvc",Andaman & Nicobar Islands,230,0,0,0
soniagandhi,Sat Apr 26 15:29:14 +0000 2014,Summer of 2014 will be cruel &amp; gruelling for #SoniaGandhi&amp;Kids..,Andaman & Nicobar Islands,122733,0,0,0
congress,Mon May 12 11:06:17 +0000 2014,With #TedLieu - for #congress former #stateassembly current state #senator #vote… http://t.co/JsjI0hGods,Andaman & Nicobar Islands,582,0,0,0
rahulgandhi,Sun Apr 27 10:48:03 +0000 2014,#RahulGandhi wil address 4 rallies tomorrow: #Bhatinda &amp; #Faridkot in #Punjab &amp; #Kanpur &amp; #Hamirpur in #UttarPradesh http://t.co/eBSWiYdI5A,Andaman & Nicobar Islands,50274,12,17,2
congress,Wed Apr 30 11:41:02 +0000 2014,"After 16May Mystery....
#Congress Will be History... :-P",Andaman & Nicobar Islands,22,0,0,0
soniagandhi,Mon May 12 06:08:38 +0000 2014,"@PATELBAILBONDS ,please use #Namo4PM,#RahulGandhi #Soniagandhi #INCINDIA ,#AAP so that they followers see your Tweets,#BJPRajnath",Andaman & Nicobar Islands,151,0,0,0
INCIndia,Thu May 08 20:47:28 +0000 2014,"#Marò #Gandhi #Modi #BJP #BJP4India #INC #AAP #CongressParty #INCIndia @htTweets 
#FREEMARO... http://t.co/fYZczVcUc6",Andaman & Nicobar Islands,5357,0,0,0
INCIndia,Thu Apr 24 13:40:56 +0000 2014,#BJP Judge holds Framed #Marò for votes IAW http://t.co/J2waGEDZPH #BJP4India #INCIndia #BJP #INC #AAP #Modi #Gandhi #CongressParty,Andaman & Nicobar Islands,5357,0,0,0
