location,party,followers,sentiment,Total Valid Votes Polled in the State,TOTAL VALID VOTES POLLED BY PARTY
Andaman & Nicobar Islands,0,6470,-0.278,188764,83157
Andaman & Nicobar Islands,0,164,-0.228,188764,83157
Andaman & Nicobar Islands,0,164,0.213,188764,83157
Andaman & Nicobar Islands,0,164,0.534,188764,83157
Andaman & Nicobar Islands,0,164,0.214,188764,83157
Andaman & Nicobar Islands,0,164,0.184,188764,83157
Andaman & Nicobar Islands,0,7130,-0.163,188764,83157
Andaman & Nicobar Islands,0,185,0.13,188764,83157
Andaman & Nicobar Islands,0,36,0.36,188764,83157
Andaman & Nicobar Islands,0,1611,0.20600000000000002,188764,83157
Andaman & Nicobar Islands,0,1152,-0.327,188764,83157
Andaman & Nicobar Islands,0,2047073,-0.174,188764,83157
Andaman & Nicobar Islands,0,1364,-0.14300000000000002,188764,83157
Andaman & Nicobar Islands,0,673,0.113,188764,83157
Andaman & Nicobar Islands,0,670,-0.10400000000000001,188764,83157
Andaman & Nicobar Islands,0,9,0.314,188764,83157
Andhra Pradesh,0,40,-0.359,48026634,5578329
Andhra Pradesh,0,361397,0.41200000000000003,48026634,5578329
Andhra Pradesh,0,1149,0.507,48026634,5578329
Andhra Pradesh,0,422,-0.191,48026634,5578329
Andhra Pradesh,0,422,0.363,48026634,5578329
Andhra Pradesh,0,705,-0.078,48026634,5578329
Andhra Pradesh,0,368,0.15,48026634,5578329
Andhra Pradesh,0,8954,0.085,48026634,5578329
Andhra Pradesh,0,164,-0.263,48026634,5578329
Andhra Pradesh,0,164,0.363,48026634,5578329
Andhra Pradesh,0,429,-0.41100000000000003,48026634,5578329
Andhra Pradesh,0,429,-0.07200000000000001,48026634,5578329
Andhra Pradesh,0,1354,0.122,48026634,5578329
Andhra Pradesh,0,1534,0.087,48026634,5578329
Andhra Pradesh,0,1534,0.061,48026634,5578329
Andhra Pradesh,0,368,0.133,48026634,5578329
Andhra Pradesh,0,245,0.10099999999999999,48026634,5578329
Andhra Pradesh,0,1601,-0.19399999999999998,48026634,5578329
Andhra Pradesh,0,3400,0.098,48026634,5578329
Andhra Pradesh,0,206,0.121,48026634,5578329
Andhra Pradesh,0,1647,-0.196,48026634,5578329
Andhra Pradesh,0,239,0.149,48026634,5578329
Andhra Pradesh,0,207,0.672,48026634,5578329
Andhra Pradesh,0,132,-0.105,48026634,5578329
Andhra Pradesh,0,97,0.00399999999999999,48026634,5578329
Andhra Pradesh,0,246,0.29,48026634,5578329
Andhra Pradesh,0,1786,0.191,48026634,5578329
Andhra Pradesh,0,460,0.27,48026634,5578329
Andhra Pradesh,0,344,0.319,48026634,5578329
Andhra Pradesh,0,120,-0.102,48026634,5578329
Arunachal Pradesh,0,203620,0.254,590635,246084
Arunachal Pradesh,0,4052,0.314,590635,246084
Arunachal Pradesh,0,213,-0.259,590635,246084
Arunachal Pradesh,0,4052,-0.271,590635,246084
Arunachal Pradesh,0,1793,0.13,590635,246084
Arunachal Pradesh,0,72458,0.195,590635,246084
Arunachal Pradesh,0,226,0.14800000000000002,590635,246084
Arunachal Pradesh,0,72458,-0.276,590635,246084
Arunachal Pradesh,0,422,-0.191,590635,246084
Assam,0,72458,0.23399999999999999,14938826,4467295
Assam,0,72458,0.106,14938826,4467295
Assam,0,104946,-0.14800000000000002,14938826,4467295
Assam,0,72458,0.205,14938826,4467295
Assam,0,5909,0.057999999999999996,14938826,4467295
Assam,0,14599,-0.18600000000000003,14938826,4467295
Assam,0,7071,0.021000000000000005,14938826,4467295
Assam,0,7071,0.141,14938826,4467295
Assam,0,72458,-0.14800000000000002,14938826,4467295
Assam,0,7071,0.08,14938826,4467295
Assam,0,320,0.106,14938826,4467295
Assam,0,5909,-0.29100000000000004,14938826,4467295
Assam,0,7071,0.061,14938826,4467295
Assam,0,151,0.43200000000000005,14938826,4467295
Assam,0,91,-0.06,14938826,4467295
Assam,0,7071,0.21100000000000002,14938826,4467295
Assam,0,7071,-0.12,14938826,4467295
Assam,0,151,-0.249,14938826,4467295
Assam,0,7071,-0.336,14938826,4467295
Assam,0,320,0.275,14938826,4467295
Assam,0,7071,-0.18100000000000002,14938826,4467295
Assam,0,7071,-0.237,14938826,4467295
Assam,0,10536,-0.147,14938826,4467295
Assam,0,666,0.114,14938826,4467295
Assam,0,664,0.3,14938826,4467295
Assam,0,10536,-0.183,14938826,4467295
Assam,0,9651,0.16699999999999998,14938826,4467295
Assam,0,81270,-0.07,14938826,4467295
Assam,0,7071,0.115,14938826,4467295
Assam,0,140,-0.268,14938826,4467295
Assam,0,140,-0.14400000000000002,14938826,4467295
Assam,0,28,-0.319,14938826,4467295
Assam,0,1979000,-0.293,14938826,4467295
Assam,0,1979000,-0.266,14938826,4467295
Assam,0,914,-0.171,14938826,4467295
Assam,0,239,0.21100000000000002,14938826,4467295
Assam,0,127,0.158,14938826,4467295
Assam,0,45,0.27699999999999997,14938826,4467295
Bihar,0,28811,0.13699999999999998,35304368,3021065
Bihar,0,18157,-0.247,35304368,3021065
Bihar,0,664,0.053,35304368,3021065
Bihar,0,246,-0.122,35304368,3021065
Bihar,0,47,0.13699999999999998,35304368,3021065
Bihar,0,53,0.13699999999999998,35304368,3021065
Bihar,0,664,-0.313,35304368,3021065
Bihar,0,11650,-0.136,35304368,3021065
Bihar,0,11650,-0.268,35304368,3021065
Bihar,0,69,0.187,35304368,3021065
Bihar,0,69,-0.223,35304368,3021065
Bihar,0,267,0.11800000000000001,35304368,3021065
Bihar,0,6631,0.17300000000000001,35304368,3021065
Bihar,0,6631,-0.14400000000000002,35304368,3021065
Bihar,0,72458,-0.158,35304368,3021065
Bihar,0,4769,-0.223,35304368,3021065
Bihar,0,7071,0.187,35304368,3021065
Bihar,0,7071,-0.223,35304368,3021065
Chandigarh,0,16273,-0.146,450349,121720
Chandigarh,0,422,0.171,450349,121720
Chandigarh,0,1905,-0.131,450349,121720
Chandigarh,0,151,-0.162,450349,121720
Chandigarh,0,901,0.13,450349,121720
Chandigarh,0,151,0.146,450349,121720
Chandigarh,0,901,-0.126,450349,121720
Chandigarh,0,320,0.22899999999999998,450349,121720
Chandigarh,0,320,0.519,450349,121720
Chandigarh,0,320,0.17800000000000002,450349,121720
Chandigarh,0,320,0.223,450349,121720
Chandigarh,0,320,0.256,450349,121720
Chandigarh,0,320,-0.14,450349,121720
Chandigarh,0,320,-0.16699999999999998,450349,121720
Chandigarh,0,320,0.098,450349,121720
Chandigarh,0,320,-0.161,450349,121720
Chandigarh,0,320,-0.18600000000000003,450349,121720
Chandigarh,0,320,-0.128,450349,121720
Chandigarh,0,320,0.191,450349,121720
Chandigarh,0,320,0.231,450349,121720
Chandigarh,0,320,-0.22,450349,121720
Chandigarh,0,320,0.231,450349,121720
Chhattisgarh,0,320,0.124,12030690,4702813
Chhattisgarh,0,320,-0.191,12030690,4702813
Chhattisgarh,0,320,0.16699999999999998,12030690,4702813
Chhattisgarh,0,320,-0.213,12030690,4702813
Chhattisgarh,0,320,0.198,12030690,4702813
Chhattisgarh,0,320,0.075,12030690,4702813
Chhattisgarh,0,320,0.08,12030690,4702813
Chhattisgarh,0,320,-0.14,12030690,4702813
Chhattisgarh,0,28811,0.2,12030690,4702813
Chhattisgarh,0,3740,-0.55,12030690,4702813
Chhattisgarh,0,3740,0.152,12030690,4702813
Chhattisgarh,0,9651,-0.124,12030690,4702813
Chhattisgarh,0,69,0.27899999999999997,12030690,4702813
Chhattisgarh,0,9651,-0.125,12030690,4702813
Chhattisgarh,0,69,0.152,12030690,4702813
Chhattisgarh,0,69,0.152,12030690,4702813
Chhattisgarh,0,69,0.152,12030690,4702813
Chhattisgarh,0,69,-0.24100000000000002,12030690,4702813
Chhattisgarh,0,69,0.27899999999999997,12030690,4702813
Chhattisgarh,0,69,0.27899999999999997,12030690,4702813
Dadra & Nagar Haveli,0,6631,0.14300000000000002,162324,74576
Dadra & Nagar Haveli,0,6631,-0.22899999999999998,162324,74576
Dadra & Nagar Haveli,0,7071,0.152,162324,74576
Dadra & Nagar Haveli,0,6631,0.256,162324,74576
Dadra & Nagar Haveli,0,21,0.392,162324,74576
Dadra & Nagar Haveli,0,7071,-0.24100000000000002,162324,74576
Dadra & Nagar Haveli,0,69,0.27899999999999997,162324,74576
Dadra & Nagar Haveli,0,180,-0.138,162324,74576
Dadra & Nagar Haveli,0,144,0.078,162324,74576
Dadra & Nagar Haveli,0,1486,0.22399999999999998,162324,74576
Dadra & Nagar Haveli,0,5357,0.22399999999999998,162324,74576
Dadra & Nagar Haveli,0,5357,0.235,162324,74576
Dadra & Nagar Haveli,0,1486,0.235,162324,74576
Dadra & Nagar Haveli,0,144,0.141,162324,74576
Dadra & Nagar Haveli,0,144,0.111,162324,74576
Dadra & Nagar Haveli,0,27091,-0.159,162324,74576
Dadra & Nagar Haveli,0,27091,0.17800000000000002,162324,74576
Dadra & Nagar Haveli,0,27091,0.014,162324,74576
Dadra & Nagar Haveli,0,10373,-0.33,162324,74576
Daman & Diu,0,27091,-0.33,85917,37738
Daman & Diu,0,237,-0.13699999999999998,85917,37738
Daman & Diu,0,5357,-0.162,85917,37738
Daman & Diu,0,5357,0.212,85917,37738
Daman & Diu,0,5357,0.212,85917,37738
Daman & Diu,0,5357,-0.16,85917,37738
Daman & Diu,0,478901,-0.444,85917,37738
Daman & Diu,0,1442,0.364,85917,37738
Daman & Diu,0,239,-0.10099999999999999,85917,37738
Daman & Diu,0,4785,-0.18899999999999997,85917,37738
Daman & Diu,0,344,-0.18600000000000003,85917,37738
Daman & Diu,0,4252,-0.11900000000000001,85917,37738
Daman & Diu,0,911,-0.12300000000000001,85917,37738
Daman & Diu,0,104946,-0.268,85917,37738
Daman & Diu,0,11486,-0.18899999999999997,85917,37738
Daman & Diu,0,187,0.14,85917,37738
Daman & Diu,0,683,-0.225,85917,37738
Daman & Diu,0,1439,-0.308,85917,37738
Daman & Diu,0,1439,-0.174,85917,37738
Daman & Diu,0,220,-0.159,85917,37738
Goa,0,1517,-0.163,806897,298750
Goa,0,254,0.287,806897,298750
Goa,0,300,-0.138,806897,298750
Goa,0,301,0.16699999999999998,806897,298750
Goa,0,6253,0.198,806897,298750
Goa,0,91,-0.02500000000000001,806897,298750
Goa,0,150,0.22,806897,298750
Goa,0,1126,0.201,806897,298750
Goa,0,308,-0.15,806897,298750
Goa,0,284,0.27899999999999997,806897,298750
Goa,0,320,0.175,806897,298750
Goa,0,640,0.175,806897,298750
Goa,0,861,-0.36700000000000005,806897,298750
Goa,0,1746,0.146,806897,298750
Goa,0,6810,-0.203,806897,298750
Goa,0,41,-0.21600000000000003,806897,298750
Goa,0,3196123,0.12300000000000001,806897,298750
Goa,0,1746,-0.221,806897,298750
Goa,0,3196123,-0.35200000000000004,806897,298750
Gujarat,0,298,0.248,25369118,8486083
Gujarat,0,505,0.462,25369118,8486083
Gujarat,0,150,0.09699999999999999,25369118,8486083
Gujarat,0,11650,-0.289,25369118,8486083
Gujarat,0,134,-0.314,25369118,8486083
Gujarat,0,74,-0.282,25369118,8486083
Gujarat,0,149,0.204,25369118,8486083
Gujarat,0,14,-0.193,25369118,8486083
Gujarat,0,368,0.141,25369118,8486083
Gujarat,0,368,0.15,25369118,8486083
Gujarat,0,405,0.28600000000000003,25369118,8486083
Gujarat,0,150,-0.245,25369118,8486083
Gujarat,0,614,-0.22399999999999998,25369118,8486083
Gujarat,0,25723,0.16699999999999998,25369118,8486083
Gujarat,0,104946,-0.22399999999999998,25369118,8486083
Gujarat,0,561,0.207,25369118,8486083
Gujarat,0,1135,-0.109,25369118,8486083
Gujarat,0,40,-0.374,25369118,8486083
Gujarat,0,45,-0.254,25369118,8486083
Gujarat,0,40,-0.389,25369118,8486083
Gujarat,0,150,-0.265,25369118,8486083
Gujarat,0,150,-0.265,25369118,8486083
Gujarat,0,604,-0.15,25369118,8486083
Gujarat,0,604,-0.2,25369118,8486083
Gujarat,0,10373,0.158,25369118,8486083
Gujarat,0,395,0.228,25369118,8486083
Gujarat,0,300,-0.138,25369118,8486083
Gujarat,0,295,0.257,25369118,8486083
Gujarat,0,614,0.158,25369118,8486083
Gujarat,0,614,0.228,25369118,8486083
Gujarat,0,13767,0.228,25369118,8486083
Gujarat,0,72458,0.228,25369118,8486083
Gujarat,0,13767,0.158,25369118,8486083
Gujarat,0,72458,0.158,25369118,8486083
Gujarat,0,69,0.231,25369118,8486083
Gujarat,0,614,0.231,25369118,8486083
Gujarat,0,7071,0.16,25369118,8486083
Gujarat,0,72458,0.231,25369118,8486083
Gujarat,0,308,-0.15,25369118,8486083
Gujarat,0,1373,-0.16699999999999998,25369118,8486083
Gujarat,0,393,0.371,25369118,8486083
Gujarat,0,413,0.091,25369118,8486083
Gujarat,0,134,-0.314,25369118,8486083
Gujarat,0,14,-0.193,25369118,8486083
Gujarat,0,304,-0.13699999999999998,25369118,8486083
Gujarat,0,14870,0.115,25369118,8486083
Haryana,0,370,-0.135,11460931,2634905
Haryana,0,3740,-0.11900000000000001,11460931,2634905
Haryana,0,61832,0.228,11460931,2634905
Haryana,0,208,-0.091,11460931,2634905
Haryana,0,614,0.16399999999999998,11460931,2634905
Haryana,0,614,-0.11900000000000001,11460931,2634905
Haryana,0,6962,-0.10400000000000001,11460931,2634905
Haryana,0,614,-0.171,11460931,2634905
Haryana,0,614,-0.15,11460931,2634905
Haryana,0,614,0.19399999999999998,11460931,2634905
Haryana,0,69,-0.11900000000000001,11460931,2634905
Haryana,0,69,0.11,11460931,2634905
Haryana,0,69,0.228,11460931,2634905
Haryana,0,614,-0.16699999999999998,11460931,2634905
Haryana,0,69,0.099,11460931,2634905
Haryana,0,69,-0.021999999999999992,11460931,2634905
Haryana,0,69,-0.021999999999999992,11460931,2634905
Haryana,0,69,0.16399999999999998,11460931,2634905
Haryana,0,61832,-0.11900000000000001,11460931,2634905
Haryana,0,13767,0.16399999999999998,11460931,2634905
Haryana,0,72458,0.16399999999999998,11460931,2634905
Haryana,0,406,0.264,11460931,2634905
Haryana,0,61832,0.11,11460931,2634905
Haryana,0,61832,0.11,11460931,2634905
Haryana,0,69,-0.147,11460931,2634905
Haryana,0,69,0.133,11460931,2634905
Haryana,0,4785,0.209,11460931,2634905
Haryana,0,1714,-0.35100000000000003,11460931,2634905
Haryana,0,10373,0.091,11460931,2634905
Haryana,0,10373,-0.147,11460931,2634905
Haryana,0,667,-0.14,11460931,2634905
Haryana,0,72458,-0.147,11460931,2634905
Haryana,0,614,0.158,11460931,2634905
Haryana,0,667,0.155,11460931,2634905
Haryana,0,667,0.158,11460931,2634905
Haryana,0,10373,0.158,11460931,2634905
Haryana,0,72458,0.133,11460931,2634905
Haryana,0,69,0.163,11460931,2634905
Haryana,0,69,0.158,11460931,2634905
Haryana,0,7071,0.365,11460931,2634905
Haryana,0,72458,0.158,11460931,2634905
Haryana,0,7071,-0.20600000000000002,11460931,2634905
Haryana,0,7071,0.095,11460931,2634905
Haryana,0,72458,0.163,11460931,2634905
Himachal Pradesh,0,7071,-0.018000000000000002,3069345,1260477
Himachal Pradesh,0,7071,0.135,3069345,1260477
Himachal Pradesh,0,7071,0.40299999999999997,3069345,1260477
Himachal Pradesh,0,6631,-0.368,3069345,1260477
Himachal Pradesh,0,7071,-0.382,3069345,1260477
Himachal Pradesh,0,6631,-0.14,3069345,1260477
Himachal Pradesh,0,7071,-0.113,3069345,1260477
Himachal Pradesh,0,7071,0.196,3069345,1260477
Himachal Pradesh,0,7071,-0.14800000000000002,3069345,1260477
Himachal Pradesh,0,7071,-0.131,3069345,1260477
Himachal Pradesh,0,7071,0.158,3069345,1260477
Himachal Pradesh,0,7071,0.191,3069345,1260477
Himachal Pradesh,0,7071,0.109,3069345,1260477
Himachal Pradesh,0,5063972,0.171,3069345,1260477
Himachal Pradesh,0,13767,0.091,3069345,1260477
Himachal Pradesh,0,7071,0.091,3069345,1260477
Himachal Pradesh,0,7071,0.28600000000000003,3069345,1260477
Himachal Pradesh,0,7071,-0.285,3069345,1260477
Himachal Pradesh,0,13767,0.184,3069345,1260477
Himachal Pradesh,0,7071,0.184,3069345,1260477
Himachal Pradesh,0,13767,0.107,3069345,1260477
Himachal Pradesh,0,7071,0.11800000000000001,3069345,1260477
Himachal Pradesh,0,3903,-0.157,3069345,1260477
Himachal Pradesh,0,149,0.204,3069345,1260477
Himachal Pradesh,0,14,-0.193,3069345,1260477
Himachal Pradesh,0,10536,-0.147,3069345,1260477
Himachal Pradesh,0,149,-0.491,3069345,1260477
Himachal Pradesh,0,361397,-0.19399999999999998,3069345,1260477
