hashtags,dates,tweets,location,followers,fav,reply,retweet
hindu,Mon Apr 08 11:33:27 +0000 2019,"kingdomhavelock Wishing You all #Happy_Navratri

#navratri #india #garba #jaipur #jaimatadi #hindu #devi #hinduism… https://t.co/lKkCIi8a0D",Andaman & Nicobar Islands,1,0,0,0
ModiLaoDeshBanao,Sat Apr 06 11:58:51 +0000 2019,"#Shame on @aajtak ...

Peddling lies in broad day light... #Shame #ModiLaoDeshBanao #LokSabhaElections2019… https://t.co/zBrOzyummm",Andaman & Nicobar Islands,273,0,0,0
bjp,Wed Apr 10 11:47:54 +0000 2019,"Time and again pakistan has come to rescue #BJP 
The show must go on .
#LokSabhaElections2019 https://t.co/o2V1vhimwr",Andaman & Nicobar Islands,81,0,0,0
modi,Thu Apr 04 10:51:52 +0000 2019,"@CNNnews18 @AmitShah @MehboobaMufti Kashmir Hamara tha , hai or rahege . Iss madarchod koo Phale maroo baad me Pakistan ko maar na #Modi jii",Andaman & Nicobar Islands,2,0,0,0
bjp,Sat Apr 06 11:56:07 +0000 2019,@ANI Congratulations  Sir.... N welcome to #BJP,Andaman & Nicobar Islands,2144,18,0,1
NarendraModi,Tue Apr 09 11:43:11 +0000 2019,"https://t.co/mmwxdzq11Y
""Think Over 'Biased Orders' of transferring IG Kunwar Vijay Pratap Singh of Bargadi SIT"": A… https://t.co/uqhAruztjv",Andaman & Nicobar Islands,6,0,0,0
hindu,Sat Apr 06 10:48:48 +0000 2019,#Ramayana #BhagavadGita #Navratra #Chaitra #Navratri #Goshala #gaumata #India #Hindu #Gujarati #Harrow #Temple… https://t.co/zf8cWkZtKN,Andaman & Nicobar Islands,2443,2,1,0
modi,Tue Apr 09 11:39:36 +0000 2019,"#Scared2Debate #Modi Jee is called the country's gatekeeper. But why are they scared of checking the ruffle, press… https://t.co/jpxWbaGs3O",Andaman & Nicobar Islands,1785,4,7,4
chowkidarNarendraModi,Fri Apr 05 08:22:38 +0000 2019,😍 🍊 Mango #fruit #fruits #mango #juice #dessert #delicious #IncredibleIndia #health #HealthyLife #summer… https://t.co/Q0hDt4wjL4,Andaman & Nicobar Islands,4412,0,0,0
ModiHaiToMumkinHai,Mon Apr 08 10:54:09 +0000 2019,⁦@PMOIndia⁩ ⁦@AmitShah⁩ ⁦@arunjaitley⁩ ⁦@CBItweets⁩ ⁦@cbic_india⁩ ⁦@sambitswaraj⁩ ⁦@myogiadityanath⁩ ⁦@AditiTwt⁩ ⁦… https://t.co/Cywdh4VkUr,Andaman & Nicobar Islands,462,10,4,0
modi,Thu Apr 04 11:07:58 +0000 2019,Congress Batman analytics head @pravchak says a writ petition against the #Modi govt’s #Aadhaar ordinance will co… https://t.co/a9kQdZ2Swj,Andaman & Nicobar Islands,3861,0,0,0
maibhichowkidar,Fri Apr 05 08:21:34 +0000 2019,"@narendramodi ji 🙏🏻🇮🇳
#MaiBhiChowkidar https://t.co/ty2hluWnPZ",Andaman & Nicobar Islands,39,0,0,0
chowkidarNarendraModi,Fri Apr 05 07:50:33 +0000 2019,"A shut up call to all #Indian, #Chowkidar , #ChowkidarNarendraModi , #IndianAirForce , #IndianArmy , #IndianNavy 
O… https://t.co/OB9TrS0sRw",Andaman & Nicobar Islands,117,1,0,0
bjp,Thu Apr 04 11:51:24 +0000 2019,@LambaAlka SIS India and #BJP can handle who live here and who don't in India. Justice system is so with them. One… https://t.co/Dr6y8QS7Ob,Andaman & Nicobar Islands,1041,0,0,0
bjp,Sun Apr 07 11:42:44 +0000 2019,"@gauravbjp4india @atulvpathak जब मोदी जी देश की जनता को घर, गैस सिलेंडर, बिजली, सड़क और शौचालयों के निर्माण की योज… https://t.co/dxqCOBlrrT",Andaman & Nicobar Islands,85,5,3,0
bjp,Tue Apr 09 11:31:06 +0000 2019,"मोदी ने सीआरपीएफ की
निगरानी में सैंकड़ों करोड़ भोपाल
में रख दिये थे, तुगलक रोड
पहुंचाने के लिए?… https://t.co/cjgqOfdh5b",Andaman & Nicobar Islands,2408,9,6,0
hindu,Tue Apr 02 09:17:41 +0000 2019,"🙏

#हिंदू न जाति न धर्म है, हिन्दू एक विचार है,
जो लोगों को बाधें रखे छिपा इसमें ऐसा सार हैं।

🇮🇳🇮🇳   जय हिन्दुस्ता… https://t.co/hYgqZrzVfq",Andaman & Nicobar Islands,3,0,0,0
hindu,Wed Apr 03 06:37:14 +0000 2019,"@svaradarajan @narendramodi It seems you don't understand the difference between a ""murderer"" and a ""terrorist"". On… https://t.co/HHvcNx1Lg2",Andaman & Nicobar Islands,1502,4,0,0
modi,Fri Apr 05 11:45:00 +0000 2019,"जनता का निर्णय साफ़ है 
फिर एक बार .@narendramodi सरकार 
Hit like and comment 
#PhirEkBaarModiSarkar #Modi… https://t.co/wdcQ3hm2bs",Andaman & Nicobar Islands,16879,2,0,0
hindu,Fri Apr 05 05:13:49 +0000 2019,@FoodRanger it is a crying shame that you visit and promote a rogue country like #pakistan which harbours internati… https://t.co/PWSEkdHG6S,Andaman & Nicobar Islands,212,0,0,0
hindu,Sat Apr 06 08:07:47 +0000 2019,"As we celebrate Navratri and Hindu New Year Vibes communications wishes everyone infinite happiness, peace &amp; prospe… https://t.co/HMuFzng020",Andaman & Nicobar Islands,1153,0,0,0
modi,Mon Apr 08 11:44:49 +0000 2019,"#Modi वर टिका केल्या म्हणून जर का मला सरकारी नोटिस आली 🤔
तर त्याला फ्रेम करुण घरात हॉल मधे लावणार 
आणि माझ्या पोरो… https://t.co/xONFWFvvbl",Andaman & Nicobar Islands,94,7,1,0
modi,Tue Apr 09 11:19:00 +0000 2019,"पीएम मोदी बोले- कर्नाटक में मजबूर सरकार चल रही है
#Latur #Modi #Karnataka #government #Thackeray #rally https://t.co/wU7OwZnQKh",Andaman & Nicobar Islands,2555,0,0,0
modi,Wed Apr 10 11:29:29 +0000 2019,"#LokSabhaElections2019: #RahulGandhi challenges PM #Modi for debate on corruption

LIVE UPDATES:… https://t.co/ziMzU7Sqlx",Andaman & Nicobar Islands,8241117,49,8,13
NarendraModi,Tue Apr 02 10:46:14 +0000 2019,#namo #namoindia #fashion #india #namoindiaofficial #makeinindia #brandindia #fashionwithnation #fashion… https://t.co/OfF2pIFW4f,Andaman & Nicobar Islands,98,0,0,0
NarendraModi,Wed Apr 03 11:16:16 +0000 2019,"Video | #NarendraModi जी प्रचारक से ऊपर नहीं उठ पा रहे हैं. पीएम देश का होता है, लेकिन ये सिर्फ एक पार्टी के बनकर र… https://t.co/qbOMbS8Gb4",Andaman & Nicobar Islands,14512,18,3,0
NarendraModi,Thu Apr 04 11:05:37 +0000 2019,#Congratulations #ZayedMedal #NarendraModi #NaMo https://t.co/5BaMa1s8d3,Andaman & Nicobar Islands,23,0,0,0
NarendraModi,Fri Apr 05 11:17:39 +0000 2019,देहरादून के परेड मैदान में आयोजित चुनावी जनसभा में प्रधानमंत्री नरेंद्र मोदी ने कांग्रेस पर जोरदार हमला किया।… https://t.co/MRrEaEAMKz,Andaman & Nicobar Islands,665934,147,16,8
NarendraModi,Sat Apr 06 11:51:48 +0000 2019,"🙌❤️ blindly now! 
#NamoAgain2019 #NarendraModi https://t.co/J0bCl2t7rW",Andaman & Nicobar Islands,220,0,0,0
amitshah,Sat Apr 06 07:33:26 +0000 2019,"Amit Shah filed 'false affidavit', disqualify him from contesting LS polls: Congress tells EC

#AmitShah #LS2019 
https://t.co/Eb2grTqhpi",Andaman & Nicobar Islands,16080,3,2,0
NarendraModi,Mon Apr 08 11:10:48 +0000 2019,"Modi doesn't have family, nor does he considers people as his family: Mamata Banerjee https://t.co/g8dRD6p0oP… https://t.co/f2jPkm2qN0",Andaman & Nicobar Islands,54945,0,0,0
NarendraModi,Tue Apr 09 10:56:51 +0000 2019,"#LokSabhaElections2019
#BJPSankalpPatr2019 #ModiOnceMore #ModiBiopic #2019OpinionPoll #Elections2019 #NarendraModi… https://t.co/0fICY2s62A",Andaman & Nicobar Islands,170,1,0,0
namo,Wed Apr 10 11:28:43 +0000 2019,"So #NaMo TV, @DDNewsLive not giving opposition equal airtime are what? 

What's ECI view on them? 

#RafaleDeal… https://t.co/JKzn0afw2B",Andaman & Nicobar Islands,767,0,0,0
ModiHaiToMumkinHai,Tue Apr 02 11:19:09 +0000 2019,"So thats why we voted @PMnarendrmodi 
I suggest you and your rich family to vote for same 
#saymodionceagain… https://t.co/1LxBrcT5Ue",Andaman & Nicobar Islands,28,1,0,0
ModiHaiToMumkinHai,Wed Apr 03 11:02:11 +0000 2019,@payalmehta100 @naiprena @dreamgirlhema suna hei New Zealand mei kisan helicopter se fertilizer spray karte hei...… https://t.co/XMnuMBhYVt,Andaman & Nicobar Islands,64,0,0,0
ModiHaiToMumkinHai,Thu Apr 04 11:04:34 +0000 2019,@BJP4UP बिल्कुल सही बात है। जब से मोदी सरकार आयी है आतंकववादियों को सिर्फ गोली और गोला खिलाने का काम हो रहा है। हम… https://t.co/Yyh1fK5Yx5,Andaman & Nicobar Islands,56,1,0,0
ModiHaiToMumkinHai,Sat Apr 06 11:32:01 +0000 2019,@narendramodi #IndiaWantsModiAgain #PhirEkBaarModiSarkar #ModiLaoDeshBanao #BharatBoleModiModi #ModiHaiToMumkinHai,Andaman & Nicobar Islands,45,1,1,0
ModiHaiToMumkinHai,Sun Apr 07 09:35:30 +0000 2019,"@KarunaGopal1 @WirelessQuint 😂😂
#ModiHaiToMumkinHai",Andaman & Nicobar Islands,386,3,0,0
maibhichowkidar,Tue Apr 09 04:51:52 +0000 2019,@narendramodi @BJP4India @PMOIndia #ChowkidarNarendraModi #ModiHaiTohMumkinHai #MaiBhiChowkidar https://t.co/gcnnEBRq4R,Andaman & Nicobar Islands,3,1,0,0
ModiHaiToMumkinHai,Wed Apr 10 10:03:47 +0000 2019,"@JhaSanjay The ultimate goal of terrorists in 72 hoors, and Modiji helps them in getting the express ticket. 
#ModiHaiToMumkinHai",Andaman & Nicobar Islands,48,0,0,0
