hashtags,tweets,neg,neu,pos,compound
bjp,RT manjeetmaithil bjp4india NarendraModi AmitShah bjp httpstcoFtKtqR0qIK,0.0,1.0,0.0,0.0
bjp,RT ExpressingIndia Tom Vadakkan Joins BJP Criticises Congress Air Strike TomVadakkan Congress BJP httpstcoxhBm966bl8,0.241,0.759,0.0,-0.4215
bjp,Whole world BJP thinking good India congress China opposite Motive… httpstcoLOzGFXcp86,0.0,0.775,0.225,0.4404
bjp,RT shaileshsotta મારો કર્મ એજ મારો અવાજ છે Vadodara dabhoi BJP sotta httpstcoFhG2WJ2lco,0.0,1.0,0.0,0.0
bjp,RT HomeshSharma6 जब माताओंबहनों ने बताया कि योजनाओं का लाभ बिना किसी दलाली के मिल रहा है प्रसन्न भाव से लगाए PM श्री narendramodi जी…,0.0,1.0,0.0,0.0
bjp,RT RitangshuB Lets put Nehru rejected UNSC seat BS rest shall MasoodAzhar BJP httpstcoAk9Uy3dZwu,0.202,0.798,0.0,-0.5106
bjp,पुणे शिवसेना भाजपा युतीच्या पदाधिकाऱ्यांचा १८ मार्चला मेळावा बालगंधर्व नाट्य सभागृहात येथे होणार Pune… httpstcoerGCHAKEyV,0.0,1.0,0.0,0.0
bjp,மோடி ஆதரவாளர்கள் முட்டாள்கள் திவ்யா ஸ்பந்தனா பதிவால் ட்விட்டரில் மோதல் LokSabhaElections2019 BJP Congress… httpstcoVrIeSGDUKM,0.0,1.0,0.0,0.0
bjp,RT satishgautam72 PM श्री narendramodi जी की कार्यशैली से प्रसन्न है देश की जनता। Aligarh4NaMo MeraBoothSabseMazboot Aligarh BJP h…,0.0,1.0,0.0,0.0
bjp,narendramodi NAMO NAMO amp BJP GOVERNMENT,0.0,1.0,0.0,0.0
bjp,RT EconomicTimes Congress accused BJP letting Masood hook also questioned narendramodi use s…,0.247,0.753,0.0,-0.3818
bjp,RT nawabmalikncp पवार साहेबांच्या मताशी आम्ही सहमत आहोत भाजपाला बहुमत मिळणार नाही आगामी निवडणुकांमध्ये अन्य दलांच्या पक्षांची भूमिका मह…,0.0,1.0,0.0,0.0
bjp,RT Ya2317 Seriously BJP RW supporters holierthanthou attitude annoying twelebs busy trolling Tommycomelately inste…,0.24,0.601,0.158,-0.128
bjp,RT DailyO TomVadakkan Joins BJP Congress hand hold back leaders toeing saffron line httpstcoNBRAaa…,0.0,0.802,0.198,0.4939
bjp,divya16 digvijaya28 Next RahulGandhi entertainment BJP,0.0,0.641,0.359,0.4215
bjp,RT Rajeevyadavg ठुकरा के मेरा BEDTET2011 प्यार मेरा इंतकाम देखेगी BJP Abki baar hahakar myogiadityanath drdineshbjp narendramodi…,0.0,1.0,0.0,0.0
bjp,RT nakkheeranweb தேர்தலில் போட்டியிட கல்வி தகுதி வயது வரம்பு நிர்ணயம் LokSabhaElections2019 SupremeCourt BJP Congress https…,0.0,1.0,0.0,0.0
bjp,RT Patilg मराठी शिवसैनिक Mumbai North East मध्ये कुणाला मतदान करणार मराठी BJP NCP Maharashtra,0.0,1.0,0.0,0.0
bjp,RT JhaSanjay foulmouthed BJP Spokespersons desperately need Listerine mouthwash,0.245,0.755,0.0,-0.3818
bjp,हवा का रुख किस तरफ हैं इसका पता चल रहा हैं akhileshsharma1 BJP 2019Elections httpstcoj3Y4EKMwLw,0.0,1.0,0.0,0.0
bjp,RT ToTheePoint NaMo BJP answered PakistanTerroristNation PulwamaAttack amp finished 200300 Pakistani Terrorists yet…,0.255,0.745,0.0,-0.6249
bjp,RT PrashantyadvSP BSNL Statue Unity और NREGA के वर्करों को वेतन नहीं मिला 45वर्षों में सबसे ज़्यादा बेरोज़गारी है लेकिन जिनके पास नौक…,0.0,1.0,0.0,0.0
